rank,image_url,album_title,artist,artist_spotify_id,album_spotify_id,type,streams_albums,weekly_gain_streams_albums,monthly_gain_streams_albums,genre,language,year_albums
1,https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72,Un Verano Sin Ti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5,Solo - Male,22251991712,14327442,23713536,Reggaeton,Spanish,2022
2,https://i.scdn.co/image/ab67616d000048518ad8f5243d6534e03b656c8b,Starboy,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,35dut3ICqF3NEDkjxfzJJ1,Solo - Male,18697300622,6369994,19925366,Pop,English,2016
3,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,Divide (÷),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,3T4tUhGYeRNVUGevb0wThu,Solo - Male,17784947247,4716449,18953088,Pop,English,2017
4,https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a,Sour,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,6s84u2TUpR3wdUv4NgKA2j,Solo - Female,16658030192,5997394,17752154,Pop,English,2021
5,https://i.scdn.co/image/ab67616d00004851ef017e899c0547766997d874,After Hours,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,742eAldb4AJKLoPgJhGRE7,Solo - Male,15873545853,5163239,16916144,Pop,English,2020
6,https://i.scdn.co/image/ab67616d00004851209356748e67773a69774a02,SOS / Lana,SZA,7tYKF4w9nC0nq9CsPZTHyP,1Q5WON8dw2JFLP5JVQXu1e,Solo - Female,15694323288,7287691,16725149,R&B,English,2022
7,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,4g1ZRSobMefqF6nelkgibi,Solo - Male,15201705263,3797053,16200175,Hip-hop,English,2019
8,https://i.scdn.co/image/ab67616d00004851ccdddb2e5349ea0608c3e016,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0JeyP8r2hBxYIoxXv11XiX,Solo - Female,14946907650,4354400,15928642,Pop,English,2020
9,https://i.scdn.co/image/ab67616d00004851ae395b47b186c2bc8c458e0f,Dua Lipa,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0obMz8EHnr3dg6NCUK4xWp,Solo - Female,14874041988,4518374,15850990,Pop,English,2017
10,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,Lover,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1NAmidJlEaVgA3MpcPFYGq,Solo - Female,14168249514,4379710,15098841,Pop,English,2019
