rank,song,artist,image_url,spotify_id,streams_songs,weekly_gain_songs,year_songs,genre,language
1,Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36,1Xyo4u8uXC1ZmMpatF05PJ,5315750618,1484380,2019,Pop,English
2,Shape Of You,Ed Sheeran,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,6eUKZXaKkcviH0Ku9w2n3V,4806656937,1606725,2017,Pop,English
3,Sweater Weather,The Neighbourhood,https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921,77SW9BnxLY8rJ0RciFqkHh,4438744698,2427660,2012,Rock,English
4,Starboy,The Weeknd ft. Daft Punk,https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452,1Xyo4u8uXC1ZmMpatF05PJ,4409715129,1850530,2016,R&B,English
5,As It Was,Harry Styles,https://i.scdn.co/image/ab67616d0000485182ce362511fb3d9dda6578ee,6KImCVD70vtIoJWnq6nGn3,4289600461,2064955,2022,Pop,English
6,Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2,4GNC7GD6oZMSxPGyXy4MNB,4250379792,1038616,2018,Pop,English
7,Sunflower,Post Malone & Swae Lee,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,246dkjvS1zLTtiykXe5h60,4151976818,1264097,2018,Pop,English
8,One Dance,Drake ft. Wizkid & Kyla,https://i.scdn.co/image/ab67616d000048519416ed64daf84936d89e671c,3TVXtAsR1Inumwj472S9r4,4087891973,2094851,2016,Reggae / Dancehall,English
9,Perfect,Ed Sheeran,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,6eUKZXaKkcviH0Ku9w2n3V,3864321454,1428694,2017,Pop,English
10,Stay,The Kid Laroi & Justin Bieber,https://i.scdn.co/image/ab67616d00004851b4d59e6fa7e5e7cbc57ac33a,2tIP7SsRs7vjIcLrU85W8J,3821783450,914825,2021,Pop,English
