rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
1,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,131592164,148789,151079821
2,Bad Bunny,4q3ewBCX7sLwd24euuV69X,123486948,-412780,123934765
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,116591271,-236776,126192069
4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,106850015,-100242,106975133
5,Taylor Swift,06HL4z0CvFAxyc27GXpf02,104801860,-324318,116229071
6,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,101436975,-344409,123488891
7,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,96301128,-86294,124637761
8,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,91621482,-17597,101505654
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,88202182,-324362,108297865
10,Drake,3TVXtAsR1Inumwj472S9r4,87734342,-45649,88716291
11,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,85027131,-444082,85751171
12,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,83618852,-6561,102809026
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,83474164,-107846,126970279
14,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,80183230,-42786,82747865
15,Shakira,0EmeFodog0BfCgMzAIvKQp,78745745,60830,82268835
16,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,75891015,-157167,112091210
17,Maroon 5,04gDigrS5kc9YWfZHwBETP,73672971,47221,75143583
18,Eminem,7dGJo4pcD2V6oG8kP0tJRR,73509559,-35494,86389533
19,Calvin Harris,7CajNmpbOovFoOoasH2HaY,71222722,40439,76334289
20,SZA,7tYKF4w9nC0nq9CsPZTHyP,70376258,-61908,97852020
21,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,69599888,-57051,78581428
22,Pitbull,0TnOYISbd1XYRBk9myaseg,67536734,161567,67765434
23,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,66806489,-52803,66859292
24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,66321611,63559,78673675
25,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,66266177,-63022,66553669
26,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,65801227,-93876,90844193
27,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,64882892,265501,64882892
28,Katy Perry,6jJ0s89eD6GaHleKKya26X,64733470,55760,68464762
