artist_spotify_id,artist,country,followers,listeners
2SabhGDiBSyaM6QSuBUVqB,Noizy,Albania,892006,3300000
3oo88ul6DPnYZwZG4CZBTY,Butrint Imeri,Albania,479926,1500000
6Cej574CUx7dHKuRHBPNp0,Elvana Gjata,Albania,309870,648928
4hRijRWd1vh3JX68IyZpfH,Elgit Doda,Albania,95154,454246
3M9EMaTryR42e52Pz2HiV2,Xhensila,Albania,94553,401126
6QgoBfZ1Wh7Nn8n9J2skxI,Solo,Albania,119121,337800
69kFCyHDE14cRD1cctCCcd,Marin Hoxha,Albania,13914,311999
7HlXH3lEJtM1yO38Ghi20f,Redi Hasa,Albania,9434,295866
6oJgxdOelVr3JnOY9u3j9K,Ronela Hajati,Albania,20516,144480
4BGQ263PdhPoD46R8NagOD,Shkodra Elektronike,Albania,18381,128442
5bXGHYmmARo1ixC6mGHIge,Kanita,Albania,13358,107117
5RYe0PYK8hYEiGnasQoYdd,Arilena Ara,Albania,16543,62720
1hV3gbtU77osxNgFEuKq9h,Anxhela Peristeri,Albania,7640,55693
6Ou6egP0Y2KxEI2yobIN3y,Besa,Albania,8026,39952
0nRwbKRsrWuehEbJ8SBb2j,Klajdi Haruni,Albania,33420,22235
7MNzqFgEbudkIQ4t52i6JX,Mad Alien,Albania,4555,16724
4BbMckVLatE2GvqjG9XEo3,Bruno,Albania,16081,16463
1TcDsK9T2dSowe7cMbBnGZ,Equinoxx,Albania,3102,15978
2fj8PNyZffJVPCdmbFhabk,Tiri Gjoci,Albania,286,7541
0xaTkrfbVvc8hGXuANRu8X,Tedi Papavrami,Albania,1499,6345
6pLCGdsbqPzBUFG4ZmVxwc,Eugent Bushpepa,Albania,6161,6299
6M1w4iuCSgFOIGHQdEL6vc,Eneda Tarifa,Albania,1102,5375
6wXgwinI0qHdXuHPPFo7qA,Jonida Maliqi,Albania,3368,5216
3a9zumn47V7OsgQNvB2Ndv,Inva Mula,Albania,5250,4487
4SkpLorN1hUgPDz3kSRS7R,Juliana Pasha,Albania,2918,3531
5WOmRkzznF99740yfF47zp,Dr Flori,Albania,1119,2162
5S4NsVcYIEr5fB8iuSMLvv,Nikol Çabeli,Albania,892006,3300000
32n9cn8PuWeYZVxnU4QLZ3,ADRIANO,Albania,457,1522
7jzVYuoedB9TSP75fBZ9fw,Revolt Klan,Albania,223,997
6rkRmaM8xwWzTk7rIZybsw,Antidrroga,Albania,2521,940
3OqdcPN6RqMV35xPHdOTfk,Renis Gjoka,Albania,632,893
05uDLsj2ATJsm82RFcoR6x,Eda Zari,Albania,1295,316
05RhRDXGy45bFEgt6cce8o,Elio Deejay,Albania,256,308
0030YHdsXF2Y1f2DjWeWbX,Enxhi Nasufi,Albania,251,185
5kUxdxKWOZTu8X8FtQnVpj,Maringlen Çika,Albania,14,100
37BN0Xbf4BqTtktOtI9evK,Ester Zahiri,Albania,109,44
0OnOBzmwu2ju7NSNtFRnS1,Simbol,Albania,16,18
1ELHXWWA89PoA9sHWnXAqh,Lazeri Riviera,Albania,4,14
5tUOf3mmSp1hj61zz0vBNA,Voltan Prodani,Albania,18,10
1Xr5guv5FyQOCAYCjohlTx,Françesk Radi,Albania,892006,3300000
76KVAl8vGgQWikTz6xkRel,Blitz,Albania,8,2
7EvcVuQiwYFQ2ceev4h4zA,Erga Halilaj,Albania,892006,3300000
481cqMn2oBGCVyNO4wa2Ox,Jozefina Simoni,Albania,892006,3300000
2p7HdQNXxNahExtx8meTVL,Dilan Reka,Albania,892006,3300000
07VSYWDcXMmVByy68EkBKC,Xhesika Polo,Albania,892006,3300000
3WRPdi0gwRoBT8WXPAbOUI,Greek Polyphonic Group of Ghirokaster,Albania,892006,3300000
0oJWRgzEjxw3AossUwZuWQ,Luiz Ejlli,Albania,892006,3300000
3nGaUoqn80old38eS3KFAy,Sigi Bastri,Albania,892006,3300000
7D8ZrjxslXIO7JnVkc7EEH,Rezarta Smaja,Albania,892006,3300000
50gN6CinewE0G57GmplHdr,Adrian Lulgjuraj,Albania,892006,3300000
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Algeria,6300000,6600000
28ztjHIXceRRntmTUfnmUX,Khaled,Algeria,1700000,2900000
5TvFfw1MgSntdU9A7yncyA,Dxrk ダーク,Algeria,557997,2000000
2aVPTWc4WYc7b384eatevF,Didine Canon 16,Algeria,1900000,587500
6vZXamchcIOKzC1c3Elp4J,Cheb Mami,Algeria,648419,436462
7EIEvxpeoLo0qpHFpSrxOr,RANDALL,Algeria,58440,320888
4YCfcWBdBH742iCKGHpsoI,Mohamed Lamine,Algeria,119491,308437
1KQ1687z0hWSabx0YswG54,Imarhan,Algeria,65853,269935
10EPr7TNgCwIWDgk9xvqzH,Raïna Raï,Algeria,158440,240084
1bwDpUYOmTBa0ddptcaRZh,Bakrou,Algeria,16368,231767
73LjFn4z6WTV7MevyPxrRc,Idir,Algeria,149981,218364
66OYzK2q18j4EVdMqRtf6L,Flenn,Algeria,1500000,218124
1F5NAWDKvoYJU3mEZQUFsB,Ahmed Malek,Algeria,44097,183996
4iCrZzxACYPYcoS71DgjWW,Bilal Sghir,Algeria,238859,170302
4HDgzUl8tuNZsn3WcH2Z39,Dj Souhil,Algeria,124201,124759
0nVvRWWnt2xwqy290TfVAd,Houssem Amari,Algeria,4488,84854
41pjPOVGlvetRYm4xx7bYw,Cheb Wahid,Algeria,189273,63575
0dpK0PxaiUvHQAsZDqxwoB,Boubekeur,Algeria,18991,56243
1PQR1mOLesI2wPJDXcyl7H,Tchikou 22,Algeria,163391,55290
6IayXElM5gfjgyWj9Ipbiu,Syc,Algeria,290755,49589
1b8QKXnA1e1CPFMosj8OMi,Atef,Algeria,2414,39880
50gVxrEzJu0FNgVRT8Hjj8,ILL-YES,Algeria,148255,16545
1RTVukXrK45mKMIVFFEMM0,Cheb i Sabbah,Algeria,27488,16437
2HYS6B9wPSQsF0gcsYSt5Y,Groupe MilanoYali,Algeria,6300000,6600000
1WQVYbL5egfD6ZsjMngxHt,Djmawi Africa,Algeria,16274,14035
0FYxyNHWzwS6ABl0LBUpma,Zohra,Algeria,2965,12836
1Awhic3Zjym5GgQ1vfkGTq,Safy Boutella,Algeria,1875,8776
4EgsEoNIcoxaroxnicMcJE,Hamid,Algeria,4785,6872
2YwWtaaaCMDirSz0qfxjE5,Mino Safy,Algeria,2205,5418
55VlMGHpIMkO5jIZz0IBND,Amel Brahim-Djelloul,Algeria,1728,4084
4L3AK3Il6bOtSbKqOCVMUw,Zina,Algeria,6300000,6600000
6PYVaCoSPDFGyH1DP1Ucgs,Chazil,Algeria,250,804
3SicmViYXYdR9HzBa5jTv7,ALI D,Algeria,91,719
20tGPhEDS7dFq8KWYUGiiW,Lelahell,Algeria,853,155
6i8UJTFt7UC9HbaMDMK3jd,Mirou Haddad,Algeria,13,83
4QUaXFillEWhN2ajnjBeip,Leila Moon,Algeria,6300000,6600000
2LmSHSeOXaYUp8Garq0Wgl,yknmsz,Algeria,918,23
0GyR46lPMTmE4yTpTQRwge,El Houda Karkabou Gnawa,Algeria,39,18
5Fn3FXzJjPDXw3Y08eY4HC,Aissa Michael,Algeria,22,6
6sO3L6cymhhDZDT7C8aZiS,Miydu,Algeria,44,6
2hoBTOjyNOKa6acaMwtgL6,TRIIIO GANG,Algeria,29,1
3A0S1Np7g9z8iMfWxrGKIV,Wamar,Algeria,6300000,6600000
6dH7NFKILBqoM0tDHCd5ro,Aïda Guéchoud,Algeria,6300000,6600000
6VaRoOxUjOOD6eXBduYFuT,Hamza el Hamri,Algeria,6300000,6600000
23VTqG2wFIL3Q1UNklnjzk,Rooflight,Algeria,6300000,6600000
41RJOF5tdFMmtyg5aEtWMJ,DJ Malvado,Angola,56409,1200000
10dzW1PpkEFPkeQSqvgXvw,Bonjr,Angola,83906,954920
1ts2oIXKCpWSRFnR78bulp,Anselmo Ralph,Angola,486408,653845
0I6bdBR4Q7uoc3HI1OgI8C,Bonga,Angola,138745,633866
0E0XPqa6BzxSkhmhvzA3k2,Matias Damásio,Angola,770901,462622
1CS75XxFYNouLuB55te4YO,Anderson Mário,Angola,402547,397515
5Qw3RHD3R95D98alngBJOZ,Yuri da Cunha,Angola,141704,202487
3POxlshfzeJs7SiHhl24ST,Ary,Angola,138618,176624
0o2CVefufFC0laiAQozokD,MOBBERS,Angola,288940,109218
13y1zLuj38wQ2HtSSMa13M,Paulo Flores,Angola,163102,107780
1oCj9jg6Vy4kaCrDpMLvg9,Kyaku Kyadaff,Angola,83428,94945
2lXUVHEPWMqeYtKXhb1tm9,Yola Semedo,Angola,176132,85722
2p7l0MAzxkEwRHgtCcLVFB,Sam Mangwana,Angola,50050,61751
4rRsJzI4T5Q7LhNDUVAXmN,Tennaz,Angola,221504,60983
3CgDThuyfOl91zIAzg8TX7,Elizio,Angola,20962,47969
2SY2GLnI0ba0yKuP9rb4Zs,King Defofera,Angola,14042,39480
4jYj5iBLdhRzXvEC1f0XGm,Yola Araújo,Angola,133134,35102
6fndolyUimclrN96l2IWdc,Big Nelo,Angola,32228,33977
7bSdfJqYQHXa3oKbNuY1Os,Toty Sa'Med,Angola,5556,25076
3Jbb0CKTNea0vdoBVrXaYk,DJ Satelite,Angola,2499,18558
6Z2vxHCAm6Uwsh1m1IgUhR,David Zé,Angola,14497,14484
