rank,image_url,album_title,artist,artist_spotify_id,album_spotify_id,type,streams_albums,weekly_gain_streams_albums,monthly_gain_streams_albums,genre,language,year_albums
1,https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72,Un Verano Sin Ti,Bad Bunny,4q3ewBCX7sLwd24euuV69X,3RQQmkQEvNCY4prGKE6oc5,Solo - Male,"22,251,991,712","14,327,442","23,713,536",Reggaeton,Spanish,"2,022"
2,https://i.scdn.co/image/ab67616d000048518ad8f5243d6534e03b656c8b,Starboy,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,35dut3ICqF3NEDkjxfzJJ1,Solo - Male,"18,697,300,622","6,369,994","19,925,366",Pop,English,"2,016"
3,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,Divide (÷),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,3T4tUhGYeRNVUGevb0wThu,Solo - Male,"17,784,947,247","4,716,449","18,953,088",Pop,English,"2,017"
4,https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a,Sour,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,6s84u2TUpR3wdUv4NgKA2j,Solo - Female,"16,658,030,192","5,997,394","17,752,154",Pop,English,"2,021"
5,https://i.scdn.co/image/ab67616d00004851ef017e899c0547766997d874,After Hours,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,742eAldb4AJKLoPgJhGRE7,Solo - Male,"15,873,545,853","5,163,239","16,916,144",Pop,English,"2,020"
6,https://i.scdn.co/image/ab67616d00004851209356748e67773a69774a02,SOS / Lana,SZA,7tYKF4w9nC0nq9CsPZTHyP,1Q5WON8dw2JFLP5JVQXu1e,Solo - Female,"15,694,323,288","7,287,691","16,725,149",R&B,English,"2,022"
7,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,4g1ZRSobMefqF6nelkgibi,Solo - Male,"15,201,705,263","3,797,053","16,200,175",Hip-hop,English,"2,019"
8,https://i.scdn.co/image/ab67616d00004851ccdddb2e5349ea0608c3e016,Future Nostalgia,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0JeyP8r2hBxYIoxXv11XiX,Solo - Female,"14,946,907,650","4,354,400","15,928,642",Pop,English,"2,020"
9,https://i.scdn.co/image/ab67616d00004851ae395b47b186c2bc8c458e0f,Dua Lipa,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0obMz8EHnr3dg6NCUK4xWp,Solo - Female,"14,874,041,988","4,518,374","15,850,990",Pop,English,"2,017"
10,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,Lover,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1NAmidJlEaVgA3MpcPFYGq,Solo - Female,"14,168,249,514","4,379,710","15,098,841",Pop,English,"2,019"
