rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
1,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"131,592,164","148,789","151,079,821"
2,Bad Bunny,4q3ewBCX7sLwd24euuV69X,"123,486,948","-412,780","123,934,765"
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"116,591,271","-236,776","126,192,069"
4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"106,850,015","-100,242","106,975,133"
5,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"104,801,860","-324,318","116,229,071"
6,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"101,436,975","-344,409","123,488,891"
7,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"96,301,128","-86,294","124,637,761"
8,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"91,621,482","-17,597","101,505,654"
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"88,202,182","-324,362","108,297,865"
10,Drake,3TVXtAsR1Inumwj472S9r4,"87,734,342","-45,649","88,716,291"
11,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"85,027,131","-444,082","85,751,171"
12,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"83,618,852","-6,561","102,809,026"
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"83,474,164","-107,846","126,970,279"
14,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"80,183,230","-42,786","82,747,865"
15,Shakira,0EmeFodog0BfCgMzAIvKQp,"78,745,745","60,830","82,268,835"
16,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"75,891,015","-157,167","112,091,210"
17,Maroon 5,04gDigrS5kc9YWfZHwBETP,"73,672,971","47,221","75,143,583"
18,Eminem,7dGJo4pcD2V6oG8kP0tJRR,"73,509,559","-35,494","86,389,533"
19,Calvin Harris,7CajNmpbOovFoOoasH2HaY,"71,222,722","40,439","76,334,289"
20,SZA,7tYKF4w9nC0nq9CsPZTHyP,"70,376,258","-61,908","97,852,020"
21,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"69,599,888","-57,051","78,581,428"
22,Pitbull,0TnOYISbd1XYRBk9myaseg,"67,536,734","161,567","67,765,434"
23,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"66,806,489","-52,803","66,859,292"
24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"66,321,611","63,559","78,673,675"
